patch;1;Animal;1;;Standard Error 
Day;Length (um);Diameter (um);Branches;;Length;Diameter;Branches 
0.000000;928.340250;10.136519;6.000000;;58.067304;0.505801;1.195229 
2.000000;1580.872000;12.639918;5.833333;;83.591466;0.201426;1.376388 
3.000000;1354.647333;11.623166;7.000000;;157.789931;0.591907;1.316561 
4.000000;1407.689250;11.111807;9.250000;;104.587909;0.246913;1.346291 
8.000000;1337.438250;10.520127;7.375000;;100.449761;0.361539;0.822398 

patch;1;Animal;2;;Standard Error 
Day;Length (um);Diameter (um);Branches;;Length;Diameter;Branches 
0.000000;2215.557429;8.292004;14.000000;;64.788582;0.324948;1.864454 
2.000000;1752.402250;10.441210;10.000000;;112.685747;0.242922;1.732051 
4.000000;1574.342000;10.524250;10.333333;;158.539679;0.843717;2.403701 
7.000000;1546.575143;10.867225;10.285714;;139.249957;0.466000;1.491472 
10.000000;1729.745500;9.532083;11.125000;;124.390055;0.291867;1.807104 

patch;1;Animal;3;;Standard Error 
Day;Length (um);Diameter (um);Branches;;Length;Diameter;Branches 
0.000000;1142.598500;8.736772;5.750000;;171.134419;0.292004;1.644797 
2.000000;921.109250;9.712569;4.000000;;127.714746;0.466968;1.101946 
3.000000;851.224857;10.087633;3.571429;;66.946973;0.624011;0.972408 
4.000000;445.876333;9.724583;1.333333;;66.924781;0.449939;0.494413 
8.000000;775.169143;8.705133;3.142857;;99.240860;0.324695;1.056242 
10.000000;621.724250;8.317664;3.125000;;72.555580;0.229475;0.833185 
14.000000;867.891500;7.224508;4.125000;;73.964388;0.166620;0.789156 

